state,date,fips,cases,deaths,state_code,test
Oregon,2020-03-01,41,2,0,OR,0.7125219473918
Rhode Island,2020-03-01,44,2,0,RI,0.1565028350551183
Texas,2020-03-01,48,11,0,TX,0.09850573432879339
Utah,2020-03-01,49,1,0,UT,0.67939959303663
Washington,2020-03-01,53,17,3,WA,0.709475807476255
Wisconsin,2020-03-01,55,1,0,WI,0.43193977078102086
Arizona,2020-03-02,4,1,0,AZ,0.5984510096334376
California,2020-03-02,6,38,0,CA,0.2639208129837112
Florida,2020-03-02,12,2,0,FL,0.6028301236989889
Georgia,2020-03-02,13,2,0,GA,0.28570603617798795
Illinois,2020-03-02,17,4,0,IL,0.540257236671359
Massachusetts,2020-03-02,25,2,0,MA,0.7334351168484287
Nebraska,2020-03-02,31,13,0,NE,0.8083999558031412
New Hampshire,2020-03-02,33,1,0,NH,0.7965327446930197
New York,2020-03-02,36,1,0,NY,0.5778882293427485
Oregon,2020-03-02,41,2,0,OR,0.7235011782833063
Rhode Island,2020-03-02,44,2,0,RI,0.2234126777758464
Texas,2020-03-02,48,11,0,TX,0.06773640062591657
Utah,2020-03-02,49,1,0,UT,0.5103694827103041
Washington,2020-03-02,53,23,6,WA,0.5176126527390026
Wisconsin,2020-03-02,55,1,0,WI,0.21916861119816256
Arizona,2020-03-03,4,2,0,AZ,0.6009967078942889
California,2020-03-03,6,45,0,CA,0.08749727547228658
Florida,2020-03-03,12,3,0,FL,0.708420865665967
Georgia,2020-03-03,13,2,0,GA,0.14799627184061237
Illinois,2020-03-03,17,4,0,IL,0.4433928245661275
Massachusetts,2020-03-03,25,2,0,MA,0.7680425591637249
Nebraska,2020-03-03,31,13,0,NE,0.4181362461361203
New Hampshire,2020-03-03,33,2,0,NH,0.35934814557341654
New York,2020-03-03,36,2,0,NY,0.09314918046167353
North Carolina,2020-03-03,37,1,0,NC,0.310993131540536
Oregon,2020-03-03,41,2,0,OR,0.13145234478453105
Rhode Island,2020-03-03,44,2,0,RI,0.49278787332598173
Texas,2020-03-03,48,11,0,TX,0.043210905224463914
Utah,2020-03-03,49,1,0,UT,0.8741522944765768
Washington,2020-03-03,53,32,10,WA,0.7680255646951513
Wisconsin,2020-03-03,55,1,0,WI,0.5601849025006138
Arizona,2020-03-04,4,2,0,AZ,0.9282873563784771
California,2020-03-04,6,55,1,CA,0.7867644501585744
Florida,2020-03-04,12,3,0,FL,0.9545913824881103
Georgia,2020-03-04,13,2,0,GA,0.583260091020056
Illinois,2020-03-04,17,4,0,IL,0.5191635686957083
Massachusetts,2020-03-04,25,2,0,MA,0.8917703413792268
Nebraska,2020-03-04,31,13,0,NE,0.967894618618849
New Hampshire,2020-03-04,33,2,0,NH,0.038590577681252736
New Jersey,2020-03-04,34,1,0,NJ,0.4144819295794273
New York,2020-03-04,36,11,0,NY,0.5020282651524057
North Carolina,2020-03-04,37,1,0,NC,0.4017576584011834
Oregon,2020-03-04,41,2,0,OR,0.6324878469754088
Rhode Island,2020-03-04,44,2,0,RI,0.5501728013373567
Texas,2020-03-04,48,12,0,TX,0.6672191949290728
Utah,2020-03-04,49,1,0,UT,0.41063276531519566
Washington,2020-03-04,53,47,11,WA,0.17116366733929422
Wisconsin,2020-03-04,55,1,0,WI,0.9736421955007587
Arizona,2020-03-05,4,2,0,AZ,0.33526484968704195
California,2020-03-05,6,67,1,CA,0.2532347478101691
Colorado,2020-03-05,8,2,0,CO,0.9033266689338247
Florida,2020-03-05,12,4,0,FL,0.7222269910792476
Georgia,2020-03-05,13,2,0,GA,0.5469430067255456
Illinois,2020-03-05,17,5,0,IL,0.7739680551584112
Maryland,2020-03-05,24,3,0,MD,0.7223084359498109
Massachusetts,2020-03-05,25,3,0,MA,0.7708106894489977
Nebraska,2020-03-05,31,13,0,NE,0.7893018846587084
Nevada,2020-03-05,32,2,0,NV,0.7595940524016022
New Hampshire,2020-03-05,33,2,0,NH,0.10205217435498914
New Jersey,2020-03-05,34,2,0,NJ,0.8571490114646941
New York,2020-03-05,36,22,0,NY,0.06050565052166179
North Carolina,2020-03-05,37,1,0,NC,0.24958951593596979
Oregon,2020-03-05,41,2,0,OR,0.01168015740259154
Rhode Island,2020-03-05,44,2,0,RI,0.7456935533776581
Tennessee,2020-03-05,47,1,0,TN,0.49920903536881556
Texas,2020-03-05,48,16,0,TX,0.2483292874975015
Utah,2020-03-05,49,1,0,UT,0.9689057496641201
Washington,2020-03-05,53,75,11,WA,0.19547176305997238
Wisconsin,2020-03-05,55,1,0,WI,0.927123791529497
Arizona,2020-03-06,4,3,0,AZ,0.16816568869391046
California,2020-03-06,6,81,1,CA,0.1306419048796641
Colorado,2020-03-06,8,8,0,CO,0.642554720510735
Florida,2020-03-06,12,7,2,FL,0.2886798301166864
Georgia,2020-03-06,13,3,0,GA,0.9455576232186452
Hawaii,2020-03-06,15,1,0,HI,0.3994832249565231
Illinois,2020-03-06,17,6,0,IL,0.19961843382184052
Indiana,2020-03-06,18,1,0,IN,0.6736772997667705
Kentucky,2020-03-06,21,1,0,KY,0.6811875069377198
Maryland,2020-03-06,24,3,0,MD,0.21960562005045614
Massachusetts,2020-03-06,25,8,0,MA,0.4811203828774865
Minnesota,2020-03-06,27,1,0,MN,0.2736471937767675
Nebraska,2020-03-06,31,14,0,NE,0.4083521747921969
Nevada,2020-03-06,32,2,0,NV,0.12158175402925064
New Hampshire,2020-03-06,33,2,0,NH,0.740426241695188
New Jersey,2020-03-06,34,4,0,NJ,0.6806206123184968
New York,2020-03-06,36,44,0,NY,0.8811395298850802
North Carolina,2020-03-06,37,2,0,NC,0.49257883529175084
Oklahoma,2020-03-06,40,1,0,OK,0.6363827845975534
Oregon,2020-03-06,41,2,0,OR,0.6752592759413474
Pennsylvania,2020-03-06,42,2,0,PA,0.6763676300562778
Rhode Island,2020-03-06,44,3,0,RI,0.12344291635582716
South Carolina,2020-03-06,45,2,0,SC,0.4867923718724473
Tennessee,2020-03-06,47,1,0,TN,0.8220699938780326
Texas,2020-03-06,48,19,0,TX,0.10584012546250732
Utah,2020-03-06,49,3,0,UT,0.5867466582693233
